x,y,kmeans,dbscan1,dbscan2
-8.667331088,41.14964257,6,0,0
-8.666030446,41.15305675,6,0,0
-8.669282052,41.15273159,6,0,0
-8.664242064,41.15045547,6,0,0
-8.663266582,41.15289417,6,0,0
-8.661640778999999,41.15061805,6,0,0
-8.663104002,41.14850451,6,0,0
-8.665705286,41.14785419,6,0,0
-8.66846915,41.15451998,6,0,0
-8.666193027,41.15500772,6,0,0
-8.663591743,41.155170299999995,6,0,0
-8.661153039,41.15370708,6,0,0
-8.667331088,41.15175611,6,0,0
-8.659527236,41.15224385,6,0,0
-8.669444632000001,41.15045547,6,0,0
-8.66798141,41.14817935,6,0,0
-8.663754323,41.1468787,6,0,0
-8.661315619,41.14850451,6,0,0
-8.659527236,41.15045547,6,0,0
-8.579537749,41.20166825,4,-1,1
-8.575635822999999,41.19825407,4,-1,1
-8.574660341,41.19240118,4,-1,1
-8.577261626,41.18703603,4,-1,1
-8.582301614,41.18248378,4,-1,1
-8.589617725,41.18410958,4,-1,1
-8.594495132999999,41.18914957,4,-1,1
-8.593519651,41.1954902,4,-1,1
-8.589942886000001,41.20053019,4,-1,1
-8.584577737,41.20264373,4,-1,1
-8.589617725,41.18914957,4,-1,1
-8.588479663,41.19500246,4,-1,1
-8.58604096,41.19939213,4,-1,1
-8.582789353999999,41.19500246,4,-1,1
-8.579700329,41.19679084,4,-1,1
-8.581326132000001,41.18703603,4,-1,1
-8.585715798999999,41.19045021,4,-1,1
-8.57986291,41.19158828,4,-1,1
-8.585715798999999,41.18573539,4,-1,1
-8.63042537,41.14671612,1,1,2
-8.627661506,41.14655354,1,1,2
-8.625060221,41.14655354,1,1,2
-8.622133777,41.14671612,1,1,2
-8.619369912,41.14671612,1,1,2
-8.616280887,41.14671612,1,1,2
-8.613842184,41.14671612,1,1,2
-8.61140348,41.1468787,1,1,2
-8.608151875,41.1468787,1,1,2
-8.60506285,41.14671612,1,1,2
-8.602624146,41.1468787,1,1,2
-8.599372541000001,41.1468787,1,1,2
-8.596120936,41.1468787,1,1,2
-8.628962148,41.14834193,1,1,2
-8.626035703,41.14817935,1,1,2
-8.627661506,41.15029289,1,1,2
-8.62408474,41.14850451,1,1,2
-8.625385382000001,41.15013031,1,1,2
-8.620833135,41.14850451,1,1,2
-8.622946678,41.15045547,1,1,2
-8.61758153,41.14850451,1,1,2
-8.620345394,41.15078063,1,1,2
-8.614817665,41.14866709,1,1,2
-8.616768627999999,41.15045547,1,1,2
-8.612378961000001,41.14866709,1,1,2
-8.614492505,41.15094321,1,1,2
-8.629775049,41.15013031,1,1,2
-8.631563432,41.14866709,1,1,2
-8.610102838,41.14817935,1,1,2
-8.611240899,41.15045547,1,1,2
-8.606688652,41.14834193,1,1,2
-8.608964776,41.14964257,1,1,2
-8.604249948,41.14834193,1,1,2
-8.606526072000001,41.15078063,1,1,2
-8.601648663999999,41.14850451,1,1,2
-8.603274467,41.15045547,1,1,2
-8.597909318,41.14834193,1,1,2
-8.600022862000001,41.14964257,1,1,2
-8.595795775,41.14882967,1,1,2
-8.598234479,41.15061805,1,1,2
-8.594495132999999,41.14785419,1,1,2
-8.617093789,41.15647094,1,2,2
-8.615305406000001,41.15647094,1,2,2
-8.613191862999999,41.15630836,1,2,2
-8.61172864,41.157609,1,2,2
-8.614004764,41.15825932,1,2,2
